"key","message","comment","context"
"%d expense treated successfully,","%d chi phí được xử lý thành công,",,
"%d expenses treated successfully,","%d chi phí được xử lý thành công,",,
"6 days week","6 ngày trong tuần",,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />",,,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />",,,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />",,,
"A leave request is already accepted over this or a portion of this period of time. Please cancel the previous one to accept this one.","Một yêu cầu nghỉ phép đã được chấp nhận trong trong khoảng thời gian này hoặc một phần của khoảng thời gian này. Vui lòng hủy cái trước để chấp nhận cái này.",,
"ADD A LINE","Thêm một dòng",,
"Account information","Thông tin tài khoản",,
"Accounting","Kế toán",,
"Acquired","Đã nghỉ",,
"Action","Hành động",,
"Actions","Hành động",,
"Active","Chính thức",,
"Active employee",,,
"Active employees",,,
"Activity","Hoạt động",,
"Add a line","Thêm một dòng",,
"Add an advance",,,
"Add lines","Thêm dòng",,
"Advance","Nâng cao",,
"Advance management","Quản lý nâng cao",,
"Afternoon","Buổi chiều",,
"Alert if the manuf. order is finish","Cảnh báo nếu manuf. đơn hàng đã kết thúc",,
"All","Tất cả",,
"All companies","Tất cả các công ty",,
"All my Expenses","Tất cả các chi phí của tôi",,
"All my Leave Requests","Tất cả các yêu cầu nghỉ phép của tôi",,
"All my Timesheets","Tất cả các bảng thời gian của tôi",,
"All my extra hours","Tất cả giờ làm thêm của tôi",,
"All timesheets",,,
"Allow Injection",,,
"Allow expense creation","Cho phép tạo chi phí",,
"Allow negative value for leaves","Cho phép giá trị âm cho nghỉ phép",,
"Allow negative values for employee leaves","Cho phép giá trị âm cho nhân viên nghỉ phép",,
"Also export already exported payroll preparations","Ngoài ra xuất khẩu các chế phẩm tiền lương đã xuất",,
"Amendment","Sửa đổi",,
"Amendment Date","Ngày sửa đổi",,
"Amendment type","Loại sửa đổi",,
"Amendment types","Loại sửa đổi",,
"Amount","Số lượng",,
"Analytic distribution",,,
"Analytic distribution lines",,,
"Analytic distribution template",,,
"Annual expenses report","Báo cáo chi phí hàng năm",,
"Annual gross salary","Tổng lương hàng năm",,
"Annual report","Báo cáo hàng năm",,
"Anomaly","Anomaly",,
"App","Ứng dụng",,
"App Expense","Chi phí ứng dụng",,
"App Leave","Ứng dụng nghỉ phép",,
"App Timesheet","Ứng dụng chấm công",,
"App employee","Ứng dụng quản lí nhân viên",,
"App expense","Ứng dụng tính chi phí",,
"App exthrs",,,
"App leave","Ứng dụng nghỉ phép",,
"App timesheet","Ứng dụng chấm công",,
"Application condition","Điều kiện ứng dụng",,
"Are you sure wants to remove selected lines?","Bạn có chắc chắn muốn loại bỏ các dòng được chọn?",,
"Arriving city","Thành phố đến",,
"Attach to","Đính kèm vào",,
"Automatic generation dates must be included in the timesheet period","Ngày tạo tự động phải được bao gồm trong khoảng thời gian của bảng chấm công",,
"Available Stock of Lunch Vouchers","Kho phiếu ăn trưa có sẵn",,
"Available quantity (acquired)","Số lượng có sẵn (có được)",,
"Available quantity (before validation)","Số lượng có sẵn (trước khi xác thực)",,
"Bank","Ngân hàng",,
"Bank Order","Lệnh Ngân hàng",,
"Base amount per employee","Số tiền cho mỗi nhân viên",,
"Basic information","Thông tin cơ bản",,
"Batches","Đợt",,
"Batchs","Đợt",,
"Birth date","Ngày sinh",,
"Block expense tax modification",,,
"Bonus coefficient","Hệ số thưởng",,
"Bonus type","Loại tiền thưởng",,
"Bonuses","Tiền thưởng",,
"CDD",,,
"COMPLEMENT","BỔ SUNG",,
"CP",,,
"CSP",,,
"CSV",,,
"Calculate","Tính toán",,
"Calculated","Tính toán",,
"Can only be selected by HR Management","Chỉ có thể được chọn bởi Quản lý Nhân sự",,
"Cancel","Hủy",,
"Cancel payment","Hủy thanh toán",,
"Canceled","Bị hủy",,
"Canceled Expense Template","Mẫu chi phí đã hủy",,
"Canceled Extra Hours Template","Mẫu làm thêm giờ đã hủy",,
"Canceled Leave Request Template","Mẫu yêu cầu nghỉ phép đã hủy",,
"Canceled Timesheet Template","Mẫu bảng chấm công đã hủy",,
"Canteen","Nhà ăn",,
"Catalog","Danh mục",,
"Categorization","Phân loại",,
"Change of position","Thay đổi vị trí",,
"Charges and Contributions","Các khoản phí và đóng góp",,
"Choose payment mode","Chọn chế độ thanh toán",,
"Citizenship","Quốc tịch",,
"City of birth","Nơi sinh",,
"Close period","Kết thúc giai đoạn",,
"Closed","Đóng",,
"Code","Mã số",,
"Coefficient","Hệ số",,
"Coefficient for bonus","Hệ số thưởng",,
"Cohabitee","",,
"Colleague Leave Requests","Yêu cầu nghỉ việc của đồng nghiệp",,
"Collective agreement","Thỏa thuận tập thể",,
"Collective agreements","Thỏa thuận tập thể",,
"Comment","Ghi chú",,
"Comments","Ghi chú",,
"Companies","Công ty",,
"Company","Công ty",,
"Company %s does not have any expense's sequence","Công ty %s không có mã tăng chi phí nào",,
"Company address","Địa chỉ công ty",,
"Company code","Mã công ty",,
"Company credit card details","Chi tiết thẻ tín dụng của công ty",,
"Company department","Phòng ban",,
"Company fixed phone","Số điện thoại cố định",,
"Company's credit card","Thẻ tín dụng",,
"Complete","Hoàn thành",,
"Complete my Timesheet","Hoàn thành bảng chấm công của tôi",,
"Complete my expense","Hoàn thành chi phí của tôi",,
"Complete my leave request","Hoàn thành yêu cầu nghỉ phép của tôi",,
"Completed","Hoàn thành",,
"Compute amounts","Tính số lượng",,
"Compute distance with web service","Tính toán khoảng cách bằng dịch vụ web",,
"Configuration","Cấu hình",,
"Confirm","Xác nhận",,
"Confirm & Continue","Xác nhận và tiếp tục",,
"Confirmed Extra Hours Template","Đã xác nhận mẫu làm thêm giờ",,
"Confirmed Timesheet Template","Mẫu bảng chấm công đã xác nhận",,
"Consolidate timesheet line on invoice","Hợp nhất dòng chấm công lên hóa đơn",,
"Consume","Tiêu thụ",,
"Contact","Liên hệ",,
"Contact in case of emergency","Liên hệ trong trường hợp khẩn cấp",,
"Content","Nội dung",,
"Continue","Tiếp tục",,
"Contract","Hợp đồng",,
"Contract extension","Hợp đồng mở rộng",,
"Contract sub type","Phụ lục phụ",,
"Contract type","Loại hợp đồng",,
"Contract types","Loại hợp đồng",,
"Contractual information","Thông tin hợp đồng",,
"Contrat duration must be <= to this duration","Thời hạn hợp đồng <= thời hạn này",,
"Contrat duration must be > to this duration","Thời hạn hợp đồng > thời hạn này",,
"Conventional Hourly Rate","Tỷ lệ giờ thông thường",,
"Conventional Monthly Rate","Tỷ lệ tháng thông thường",,
"Costs","Chi phí",,
"Counted","Tính",,
"Country of birth","Quê",,
"Create","Tạo",,
"Create amendment","Tạo sửa đổi",,
"Create lines for day leaves","Tạo thêm ngày nghỉ phép",,
"Create lines for public holidays","Thêm ngày nghỉ lễ",,
"Create new user","Tạo người dùng mới",,
"Created by","Được tạo bởi",,
"Created on","Được tạo vào",,
"DATE D'ENTREE","NGÀY NHẬP",,
"DATE DE SORTIE","NGÀY PHÁT HÀNH",,
"DATE NAISS","NGÀY SINH",,
"DEPT NAISS",,,
"DPAE",,,
"DPAE filters","Bộ lọc DPAE",,
"DPAEs",,,
"Daily cost","Chi phí hàng ngày",,
"Daily work hours","Giờ làm việc hàng ngày",,
"Date","Ngày",,
"Date can't be in the future","Ngày không thể trong tương lai",,
"Date can't be in the future for line(s) : %s","Ngày không thể trong tương lai ở(các) bản ghi: %s",,
"Date difference should be maximam 31 days.","Sự chênh lệch ngày nên là tối đa 31 ngày.",,
"Date of birth","Ngày sinh",,
"Date of hire","Ngày thuê",,
"Dates","Ngày",,
"Day","Ngày",,
"Day leave","Ngày nghỉ",,
"Days","Ngày",,
"Days validated","Ngày xác nhận",,
"Deduct lunch voucher","Khấu trừ phiếu ăn trưa",,
"Default Activity Product","Sản phẩm hoạt động mặc định",,
"Default day number gain","Số ngày mặc định tăng",,
"Department","Phòng",,
"Department of birth",,,
"Description","Mô tả",,
"Details","Chi tiết",,
"Display activity column in printing","Hiển thị cột hoạt động khi in",,
"Display task column in printing","Hiển thị cột nhiệm vụ khi in",,
"Display timesheet line number","Hiển thị số dòng của bảng chấm công",,
"Distance travelled","Quãng đường đã đi",,
"Distribution date","Ngày phân phối",,
"Draft","Bản thảo",,
"Duration","Khoảng thời gian",,
"Duration adjust for customer","Thời lượng điều chỉnh cho khách hàng",,
"Duration equals 0","Thời lượng bằng 0",,
