"key","message","comment","context"
"%s : You must configure Sales module for company %s","%s: Bạn phải định cấu hình mô -đun bán hàng cho công ty %s",,
"A JavaScript boolean expression against the current form values.","Một biểu thức boolean JavaScript so với các giá trị biểu mẫu hiện tại.",,
"A cancel reason must be selected","Phải chọn lý do hủy bỏ",,
"ABC analysis","Phân tích ABC",,
"ATI","ATI",,
"AbcAnalysis.endDate","Ngày bắt đầu",,
"AbcAnalysis.startDate","Ngày kết thúc",,
"Accepted Credit","Tín dụng được chấp nhận",,
"Access to parent sale order","Truy cập đơn đặt hàng cha",,
"Accounted Revenue","Doanh thu được hạch toán",,
"Accounting Family sale turnover (Excl. Tax) per month","Doanh thu bán hàng mỗi tháng của họ kế toán (Chưa bao gồm thuế) ",,
"Action","Hoạt động",,
"Actions","Hành động",,
"Activate","Hoạt động",,
"Add Line from Configurator","Thêm dòng từ trình cấu hình",,
"Add Pack","Thêm gói",,
"Add a pack","Thêm một gói",,
"Adv. payment amount","Số tiền thanh toán trước",,
"Advance Payment","Thanh toán trước",,
"Advance Payments","Thanh toán trước",,
"Advance payment A.T.I. total","Tổng thanh toán trước đã bao gồm thuế",,
"Advance payment amount needed","Cần thanh toán trước số tiền",,
"Advance payment needed","Cần thanh toán trước",,
"Advance payment total","Tổng số tiền thanh toán trước",,
"Advance payments","Thanh toán trước",,
"All customer credit will be updated.","Tất cả tín dụng của khách hàng sẽ được cập nhật.",,
"Allocate","Phân bổ",,
"Allocate all","Phân bổ tất cả",,
"Allocated stock","Vị trí kho đã phân bổ",,
"Allow pending order modification","Cho phép sửa đổi đơn hàng đang chờ xử lý",,
"Amount","Số tiền",,
"Amount A.T.I.","Tổng tiền đã bao gồm thuế",,
"Amount Tax","Tổng tiền thuế",,
"Amount invoiced W.T.","Tổng tiền hóa đơn chưa thuế",,
"Amount to be spread over the timetable","Số tiền được chia trong thời gian biểu",,
"An attribute with the same name already exists.","Một thuộc tính có cùng tên đã tồn tại.",,
"Analytic distribution","Phân tích phân phối",,
"Analytic distribution required on sale order line","Phân tích phân phối trên chi tiết đơn đặt hàng",,
"Analytics","Phân tích",,
"App","Ứng dụng",,
"App sale","Ứng dụng bán hàng",,
"At least one sale order line has a stock move with availability request.","Ít nhất một chi tiết đơn hàng có một đợt chuyển hàng với yêu cầu còn hàng",,
"Attributes","Thuộc tính",,
"Authorizations","Ủy quyền",,
"Authorized groups","Các nhóm được ủy quyền",,
"Authorized users","Người dùng được ủy quyền",,
"Availability Request","Yêu cầu sẵn có",,
"Availability request","Yêu cầu sẵn có",,
"Available stock","Có trong kho",,
"Average margin rate","Tỷ lệ ký quỹ trung bình",,
"Average margin rate per customer","Tỷ lệ ký quỹ trung bình cho mỗi khách hàng",,
"Average markup","Đánh dấu trung bình",,
"Average markup per customer","Đánh dấu trung bình cho mỗi khách hàng",,
"Average price","Giá trung bình",,
"Back to confirmed order","Quay lại đơn đặt hàng đã xác nhận",,
"Base W.T.","Cơ sở chưa thuế",,
"Batchs","Hàng loạt",,
"Bi-monthly","Hai tháng một lần",,
"Blocked","Bị chặn",,
"Business Project","Dự án kinh doanh",,
"Business project","Dự án kinh doanh",,
"Calculated fields on configurator","Các trường được tính toán trên cấu hình",,
"Can only cancel a drafted or finalized sale order.","Chỉ có thể hủy đơn hàng đang soạn thảo hoặc đã hoàn tất",,
"Can only complete a confirmed sale order.","Chỉ có thể hoàn thành một đơn đặt hàng đã được xác nhận",,
"Can only confirm a finalized quotation.","Chỉ có thể xác nhận một báo giá cuối cùng",,
"Can only finalize a drafted quotation.","Chỉ có thể hoàn thành một báo giá đang soạn thảo",,
"Cancel","Hủy bỏ",,
"Cancel Reason","Lý do hủy",,
"Cancel Reasons","Lý do hủy",,
"Cancel reason","Lý do hủy",,
"Cancel reservation","Hủy dịch vụ",,
"Canceled","Bị hủy bỏ",,
"Cancellation","Hủy bỏ",,
"Cancellation confirmation","Xác nhận hủy bỏ",,
"Category","Danh mục",,
"Category sale turnover (Excl. Tax) per month","Danh mục doanh thu bán hàng mỗi tháng (Chưa bao gồm thuế)",,
"Change allocated qty","Thay đổi số lượng phân bổ",,
"Change requested reserved qty","Thay đổi số lượng đặt trước được yêu cầu",,
"Changes were made to the configurator creator. Please activate the configurator creator to use it.","Các thay đổi đã được thực hiện đối với người tạo cấu hình. Vui lòng kích hoạt trình tạo cấu hình để sử dụng nó",,
"Characteristics","Đặc điểm",,
"Check the script","Kiểm tra tập lệnh",,
"Client box in sale order","Hộp khách hàng trong đơn đặt hàng",,
"Client is sale blocked:","Khách hàng bị chặn:",,
"Close opportunity when one of the linked sale orders is confirmed","Cơ hội đóng khi một trong các đơn đặt hàng đã liên kết được xác nhận",,
"Code","Mã số",,
"Comment","Bình luận",,
"Comment to display","Nhận xét để hiển thị",,
"Comment to display on delivery","Nhận xét để hiển thị khi giao hàng",,
"Comment to display on invoice","Nhận xét để hiển thị trên hóa đơn",,
"Comment to display on picking order","Bình luận để hiển thị trên đơn đặt hàng",,
"Comment to display on proforma","Nhận xét để hiển thị trên hóa đơn chiếu lệ",,
"Company","Công ty",,
"Company bank","Ngân hàng công ty",,
"Company currency","Tiền tệ của công ty",,
"Complementary lines","Dòng bổ sung",,
"Complementary product","Sản phẩm bổ sung",,
"Complementary product list","Danh sách sản phẩm bổ sung",,
"Complementary product(s)","(Các) sản phẩm bổ sung",,
"Complementary products","Sản phẩm bổ sung",,
"Complete manually sale order","Hoàn thành đơn đặt hàng thủ công",,
"Components","Các thành phần",,
"Compute lines with pricing scale","Tính toán các dòng với thang giá",,
"Conditions","Các điều kiện",,
"Configuration","Cấu hình",,
"Configurator","Cấu hình",,
"Configurator BoM","Cấu hình BoM",,
"Configurator creator filters","Bộ lọc trình tạo cấu hình",,
"Configurator creator name","Tên người tạo cấu hình",,
"Configurator creators","Người tạo cấu hình",,
"Configurator formula list","Danh sách công thức cấu hình",,
"Configurator type","Loại cấu hình",,
"ConfiguratorCreator","Người tạo cấu hình",,
"ConfiguratorCreators","Người tạo cấu hình",,
"Configurators","Cấu hình",,
"Configure","Cấu hình",,
"Confirm cancellation","Xác nhận hủy bỏ",,
"Confirm order","Xác nhận đơn hàng",,
"Confirmation","Xác nhận",,
"Confirmation date","Ngày xác nhận",,
"Confirmed by","Được xác nhận bởi",,
"Confirmer","Người xác nhận",,
"Contact partner","Đối tác liên hệ",,
"Contacts","Liên lạc",,
"Content","Nội dung",,
"Contract end date","Ngày kết thúc hợp đồng",,
"Contract period in months","Thời gian hợp đồng trong tháng",,
"Contract start date","Ngày bắt đầu hợp đồng",,
"Copy needing update","Sao chép Cập nhật",,
"Country","Quốc gia",,
"Create Order from this Template","Tạo đơn đặt hàng từ mẫu này",,
"Create the quotation","Tạo báo giá",,
"Creation date","Ngày tạo",,
"Creation for every sale order lines","Tạo cho tất cả chi tiết đơn hàng",,
"Creation for the sale order","Tạo cho đơn đặt hàng",,
"Currency","Tiền tệ",,
"Current Login user","Người dùng đăng nhập hiện tại",,
"Current User","Người dùng hiện tại",,
"Custom css class to apply.","Lớp CSS tùy chỉnh để áp dụng.",,
"Custom field","Trường tùy chỉnh",,
"Custom fields","Trường tùy chỉnh",,
"Customer","Khách hàng",,
"Customer Catalog","Danh mục khách hàng",,
"Customer Catalog Lines","Danh mục khách hàng",,
"Customer Credit","Tín dụng khách hàng",,
"Customer catalog lines","Danh mục khách hàng",,
"Customer contact","Thông tin liên lạc của khách hàng",,
"Customer deliveries","Giao hàng của khách hàng",,
"Customer deliveries details","Chi tiết giao hàng của khách hàng",,
"Customer information","Thông tin khách hàng",,
"Customer reference","Tài liệu tham khảo của khách hàng",,
"Customer specific note","Lưu ý cụ thể của khách hàng",,
"Customers","Khách hàng",,
"Customers / prospects","Khách hàng / Triển vọng",,
"Customize BOM","Tùy chỉnh BOM",,
"Dashboard","Bảng thông tin",,
"Data file","Tập tin dữ liệu",,
"Date","Ngày",,
"Dates","Ngày",,
"Day","Ngày",,
"Deallocate","Giải quyết",,
"Deallocate all","Giải quyết tất cả",,
"Default unit","Đơn vị mặc định",,
"Define as template","Chọn làm mẫu",,
"Delivered","Đã giao hàng",,
"Delivered quantity","Số lượng vận chuyển",,
"Delivery","Vận chuyển",,
"Delivery address","Địa chỉ giao hàng",,
"Delivery conditions","Điều kiện giao hàng",,
"Description","Mô tả",,
"Desired delivery date","Ngày giao hàng mong muốn",,
"Details Lines","Các dòng chi tiết",,
"Discount","Triết khấu",,
"Discount amount","Số tiền chiết khấu",,
"Discount derogation (%)","Giảm chiết khấu (%)",,
"Discount rate","Tỷ lệ chiết khấu",,
"Discount type","Loại chiết khấu",,
"Discounts need review","Chiết khấu cần xem xét",,
"Display customer code on printing","Hiển thị mã khách hàng khi in",,
"Display delivery condition on printing","Hiển thị điều kiện giao hàng khi in",,
"Display estimated delivery dates on printing","Hiển thị ngày giao hàng ước tính khi in",,
"Display product code on printing","Hiển thị mã sản phẩm khi in",,
"Display product picture on printing","Hiển thị hình ảnh sản phẩm khi in",,
"Display sale order line number","Hiển thị số dòng đơn đặt hàng",,
"Display saleman on printing","Hiển thị người bán khi in",,
"Display tax detail on printing","Hiển thị chi tiết thuế khi in",,
"Displayed Product name","Hiển thị tên sản phẩm",,
"Do not display the header and end of pack","Không hiển thị phần đầu và phần cuối của gói",,
"Draft","Bản thảo",,
"Draft quotation","Dự thảo báo giá",,
"Durations","Thời lượng",,
"Edit order","Chỉnh sửa thứ tự",,
"Editor","Người chỉnh sửa",,
"Enable business configurator","Bật cấu hình kinh doanh",,
"Enable calculation of the entire quotation using pricing","Cho phép tính toán toàn bộ báo giá bằng cách sử dụng giá",,
"Enable customer catalog management","Bật quản lý danh mục khách hàng",,
"Enable pricing scale","Cho phép thang giá",,
"Enable product description copy","Bật bản mô tả sản phẩm",,
"End date","Ngày kết thúc",,
"End of current contract period","Kết thúc thời gian hợp đồng hiện tại",,
"End of validity","Kết thúc hiệu lực",,
"Estimated shipping date","Ngày vận chuyển ước tính",,
"Example: accessing the name of the user","Ví dụ: Truy cập tên của người dùng",,
"Examples","Ví dụ",,
"Excel","Excel",,
"Export","Xuất",,
"Fill project","Điền vào dự án",,
"Filter products by trading name","Lọc sản phẩm bằng tên giao dịch",,
"Finalize","Hoàn thành",,
"Finalized quotation","Hoàn thành báo giá",,
"Financial terms","Điều khoản tài chính",,
"Fiscal position","Vị trí tài chính",,
"Format","Định dạng",,
"Formula","Công thức",,
"Freeze fields","Trường đóng băng",,
"From Date","Từ ngày",,
"Full name","Họ và tên",,
"Generate","Tạo",,
"Generate Product","Tạo sản phẩm",,
"Generate Project/Business","Tạo dự án/doanh nghiệp",,
"Generate advance payment invoice","Tạo hóa đơn thanh toán trước",,
"Generate configurator","Tạo cấu hình",,
"Generate customer deliveries","Tạo giao hàng của khách hàng",,
"Generate invoice","Tạo hóa đơn",,
"Generate product","Tạo sản phẩm",,
"Generate production order","Tạo đơn đặt hàng sản xuất",,
"Generate purchase order","Tạo đơn đặt hàng",,
"Generate sale configurations","Tạo cấu hình bán hàng",,
"Generate the pdf printing during sale order finalization","Tạo bản in PDF trong quá trình hoàn thiện đơn đặt hàng bán hàng",,
"Generated purchase orders","Tạo đơn đặt hàng",,
"Generation type","Loại thế hệ",,
"Gross Profit","Lợi nhuận gộp",,
"Group products on printings","Nhóm sản phẩm khi in",,
"Half-yearly","Nửa năm",,
"Help","Trợ giúp",,
"Hide Discount on prints","Ẩn chiết khấu khi in",,
"Hide Unit Amounts","Ẩn số lượng đơn vị",,
"Hide unit amounts","Ẩn số lượng đơn vị",,
"Historical","Lịch sử",,
"Import","Tải lên",,
"Import configurator creators","Tải lên cấu hình",,
"Import log","Tải lên nhật ký",,
"In ATI","Trong ATI",,
"Indicators","Chỉ số",,
"Industry Sector","Ngành công nghiệp",,
"Info.","Thông tin.",,
"Information","Thông tin",,
"Internal Note","Ghi chú nội bộ",,
"Internal Number","Số nội bộ",,
"Internal note","Ghi chú nội bộ",,
"Invoice Lines","Dòng hóa đơn",,
"Invoice an advance payment","Hóa đơn thanh toán trước",,
"Invoice by delivery impose that all sale order lines must have service or stockable product with provision from stock","Hóa đơn bằng cách giao hàng áp đặt rằng tất cả các dòng chi tiết đơn đặt hàng phải có dịch vụ hoặc sản phẩm có thể dự trữ được với nguồn cung cấp từ kho",,
"Invoiced","Đã lập hóa đơn",,
"Invoiced first date","Ngày đầu tiên được lập hóa đơn",,
"Invoicing","Lập hóa đơn",,
"Is Active","Đang hoạt động",,
"Is amount in % ?","Là số lượng tính bằng %?",,
"Is complementary partner products handled","Các sản phẩm đối tác bổ sung có được xử lý không",,
"Is complementary products unhandled yet","Các sản phẩm bổ sung chưa được xử lý chưa",,
"Label","Nhãn mác",,
"Label to be displayed on sale orders","Nhãn sẽ được hiển thị trên đơn đặt hàng",,
"Last Year To Date","Năm ngoái cho đến nay",,
"Last reminder","Lời nhắc nhở cuối",,
"Legal note on sale order","Lưu ý pháp lý về đơn đặt hàng",,
"Line production commentary","Bình luận về dây chuyền sản xuất",,
"Main sale order line","Chi tiết đơn bán hàng chính",,
"Main/Invoicing address","Địa chỉ chính/lập hóa đơn",,
"Manage multiple sale quantity","Quản lý số lượng bán hàng",,
"Manage partner complementary product","Quản lý sản phẩm bổ sung cho đối tác",,
"Manage sale order versions","Quản lý phiên bản đơn đặt hàng",,
"Manage sales unit on products","Quản lý đơn vị bán hàng trên sản phẩm",,
"Manual","Thủ công",,
"Manual Unblock","Thủ công bỏ chặn",,
"Manufacturing Orders","Đơn đặt hàng sản xuất",,
"Maps","Bản đồ",,
"Margin","Lề",,
"Margin (%)","Lề (%)",,
"Markup (%)","Đánh dấu (%)",,
"Max","Tối đa",,
"Max discount","Chiết khấu tối đa",,
"Merge into single quotation","Hợp nhất thành báo giá đơn lẻ",,
"Merge into single sale order","Hợp nhất thành đơn đặt hàng đơn lẻ",,
"Merge quotations","Hợp nhất báo giá",,
"Merge sale orders","Hợp nhất đơn đặt hàng",,
"Merge sale quotation","Hợp nhất báo giá",,
"Meta field","Trường meta",,
"Meta json","Meta json",,
"Min","Tối thiểu",,
"Missing mapped by: unidirectional one-to-many are not supported by the configurator.","Thiếu ánh xạ bởi: o2m không hỗ trợ bởi cấu hình","Thiếu Được ánH xạ bởi: một-một-một-NHIềU Không Đan Hỗ Trợ BởI Bộ CấU Hình.",
"Month","Tháng",,
"Monthly","Hàng tháng",,
"My Opportunities","Cơ hội của tôi",,
"My Proposals","Đề xuất của tôi",,
"My Sales","Bán hàng của tôi",,
"My Sales Orders","Đơn bán hàng của tôi",,
"My Team Proposals","Đề xuất nhóm của tôi",,
"My Team Sales","Bán hàng nhóm của tôi",,
"My Templates","Mẫu của tôi",,
"My Today Activities","Các hoạt động hôm nay của tôi",,
"My Turnover per month","Doanh thu của tôi mỗi tháng",,
"My templates","Mẫu của tôi",,
"Name","Tên",,
"Name to use in scripts","Tên để sử dụng trong tập lệnh",,
"Nbr of Units sold (Orders) by category","NBR của các đơn vị được bán (đơn đặt hàng) theo danh mục",,
"New version","Phiên bản mới",,
"Next invoiced period start date","Ngày bắt đầu kỳ hóa đơn tiếp theo",,
"Next invoicing date","Ngày lập hóa đơn tiếp theo",,
"Next invoicing end period date","Ngày kết thúc kỳ hóa đơn tiếp theo",,
"Next invoicing start period date","Ngày bắt đầu kỳ hóa đơn tiếp theo",,
"No Of Units","Không có đơn vị",,
"No client selected, a new one will be created from the lead, do you agree?","Không có khách hàng nào được chọn, một khách hàng mới sẽ được tạo từ khách hàng tiềm năng, bạn có đồng ý không?",,
"Not delivered","Chưa được giao",,
"Not invoiced","Chưa lập hóa đơn",,
"Notice period in days","Thời gian thông báo trong ngày",,
"OR","HOẶC",,
"Old qty","Số lượng cũ",,
"On change","Khi thay đổi",,
"One product is sold at loss, are you sure you want to finalize the quotation ?","Một sản phẩm được bán ở mức lỗ, bạn có chắc là bạn muốn hoàn thiện báo giá không?",,
"One-off sale","Bán một lần",,
"Only if","Chỉ nếu",,
"Opportunity","Cơ hội",,
"Optional","Không bắt buộc",,
"Options","Tùy chọn",,
"Order Date","Ngày đặt hàng",,
"Order Number","Số đặt hàng",,
"Order being edited","Đặt hàng đang được chỉnh sửa",,
"Order bloqued message","Đặt hàng tin nhắn bloqued",,
"Order completed","Đặt hàng đã hoàn thành",,
"Order confirmed","Đặt hàng đã xác nhận",,
"Original product","Sản phẩm gốc",,
"Original sale order","Đơn đặt hàng ban đầu",,
"Other information","Thông tin khác",,
"Overview","Tổng quan",,
"PDF","PDF",,
"Pack","Đóng gói",,
"Pack Management","Quản lý gói",,
"PackLine","Dòng đóng gói",,
"Parent","Cha",,
"Partially delivered","Đã cung cấp một phần",,
"Partially invoiced","Đã lập hóa đơn một phần",,
"Partner","Đối tác",,
"Partner Type","Loại đối tác",,
"Partner price lists","Bảng giá đối tác",,
"Period duration","Kỳ hạn",,
"Periodicity type","Loại tuần hoàn",,
"Please enter at least one detail line.","Vui lòng nhập ít nhất một dòng chi tiết.",,
"Please fill printing settings on sale order %s.","Vui lòng điền vào cài đặt in trên đơn đặt hàng %s.",,
"Please select a customer","Vui lòng chọn khách hàng",,
"Please select a customer to be able to convert opportunity into quotation.","Vui lòng chọn một khách hàng để có thể chuyển đổi cơ hội thành báo giá.",,
"Please select the sale order(s) to print.","Vui lòng chọn các đơn đặt hàng để in",,
"Price","Giá bán",,
"Price List","Bảng giá",,
"Price list","Bảng giá",,
"Price lists","Bảng giá",,
"Pricing","Giá cả",,
"Pricing rules","Quy tắc định giá",,
"Print","In",,
"Print subtotal / line","In tổng phụ / dòng",,
"Print subtotal per line","In tổng trên mỗi dòng",,
"Printing","In",,
"Printing config per Sale Order","In cấu hình cho mỗi đơn đặt hàng",,
"Printing settings","Cài đặt in",,
"Product","Sản phẩm",,
"Product Accounting Family","Họ kế toán sản phẩm",,
"Product Accounting Family Sales Turnover this year vs last year","Doanh thu của họ kế toán sản phẩm năm nay so với năm ngoái",,
"Product Category","Danh mục sản phẩm",,
"Product Name","Tên sản phẩm",,
"Product code on catalog","Mã sản phẩm trên danh mục",,
"Product creator","Người tạo sản phẩm",,
"Product generated","Sản phẩm được tạo ra",,
"Product meta field","Sản phẩm Meta Field",,
"Product name on catalog","Tên sản phẩm trên danh mục",,
"Product sale turnover (Excl. Tax) last 12 month","Doanh thu bán sản phẩm 12 tháng trước (Trước thuế)",,
"Product sale turnover (Excl. Tax) per month","Doanh thu bán sản phẩm mỗi tháng (Trước thuế)",,
"Production","Sản xuất",,
"Production note","Ghi chú sản xuất",,
"Production process","Quy trình sản xuất",,
"Products & services","Sản phẩm và dịch vụ",,
"Proforma invoice","Hóa đơn chiếu lệ",,
"Project/Task","Dự án/Nhiệm vụ",,
"Prospects","Tương lai",,
"Prototype","Nguyên mẫu",,
"Qty","Số lượng",,
"Quantity","Số lượng",,
"Quantity in generated sale order line, 1 if left empty.","Số lượng trong dòng đơn hàng bán được tạo, 1 nếu để trống.",,
"Quarterly","Hàng quý",,
"Query to database","Truy vấn cơ sở dữ liệu",,
"Quotation","Bảng báo giá",,
"Quotation lines","Dòng trích dẫn",,
"Quotation/sale order created","Đơn đặt hàng/Bán hàng được tạo ra",,
"Quotations template","Mẫu báo giá",,
"Quotations to merge","Báo giá để hợp nhất",,
"Quote/Order","Báo giá/Đặt hàng",,
"Reference","Tài liệu tham khảo",,
"Reference already existing","Tham chiếu đã tồn tại",,
"References","Người giới thiệu",,
"Register a deposit","Đăng ký một khoản tiền gửi",,
"Related tasks","Nhiệm vụ liên quan",,
"Report type","Loại báo cáo",,
"Reportings","Báo cáo",,
"Reports","Báo cáo",,
"Request reservation","Yêu cầu đặt trước",,
"Reservation requested","Yêu cầu đặt trước",,
"Reserve all","Đặt trước tất cả",,
"SO Tax line","Chi tiết thuế đơn đặt hàng",,
"SO Tax lines","Chi tiết thuế đơn đặt hàng",,
"SO line","Chi tiết đơn đặt hàng",,
"SO lines","Chi tiết đơn đặt hàng",,
"Sale","Bán hàng",,
"Sale batch","Lô hàng",,
"Sale batches","Lô hàng",,
"Sale blocking","Chặn bán hàng",,
"Sale config","Cấu hình bán hàng",,
"Sale config (${ name })","Cấu hình bán hàng (${ name })",,
"Sale configuration","Cấu hình bán hàng",,
"Sale configurations","Cấu hình bán hàng",,
"Sale details by product","Chi tiết bán hàng theo sản phẩm",,
"Sale order","Đơn đặt hàng",,
"Sale order id","ID đơn đặt hàng",,
"Sale order line","Chi tiết đơn hàng",,
"Sale order line field","Trường chi tiết đơn hàng",,
"Sale order lines","Chi tiết đơn hàng",,
"Sale order quotation","Bảng báo giá",,
"Sale orders","Đơn đặt hàng",,
"Sale orders ATI/WT","Đơn đặt hàng ATI/WT",,
"Sale orders to merge","Đơn đặt hàng để hợp nhất",,
"Sale quotation","Bảng báo giá",,
"Sale quotations","Bảng báo giá",,
"Sale quotations/orders","Báo giá/Đơn hàng",,
"SaleOrder.afterDiscount","Sau chiết khấu",,
"SaleOrder.bank","Ngân hàng",,
"SaleOrder.base","Cơ sở",,
"SaleOrder.cheque","Kiểm tra",,
"SaleOrder.customer","Khách hàng",,
"SaleOrder.customerCode","Mã khách hàng",,
"SaleOrder.customerRef","Tham khảo khách hàng",,
"SaleOrder.date","Ngày",,
"SaleOrder.deliveryAddress","Địa chỉ giao hàng",,
"SaleOrder.deliveryCondition","Điều kiện giao hàng",,
"SaleOrder.deliveryDate","Ngày giao hàng",,
"SaleOrder.description","Mô tả",,
"SaleOrder.discountAmount","Tiền chiết khấu",,
"SaleOrder.duration","Khoảng thời gian",,
"SaleOrder.estimatedDeliveryDate","Ngày giao hàng dự kiến",,
"SaleOrder.invoicingAddrs","Địa chỉ hóa đơn",,
"SaleOrder.isIspmRequired","SaleOrder.isIspmRequired",,
"SaleOrder.no","SaleOrder.no",,
"SaleOrder.note","Ghi chú",,
"SaleOrder.order","Lệnh",,
"SaleOrder.others","Khác",,
"SaleOrder.paymentCondition","Điều kiện thanh toán",,
"SaleOrder.paymentMode","Phương thức thanh toán",,
"SaleOrder.periodicity","Chu kỳ",,
"SaleOrder.priceExclTax","Giá trước thuế",,
"SaleOrder.priceInclTax","Giá sau thuế",,
"SaleOrder.productCode","Mã sản phẩm",,
"SaleOrder.productDescription","Mô tả sản phẩm",,
"SaleOrder.productName","Tên sản phẩm",,
"SaleOrder.productSequence","Mã tăng sản phẩm",,
"SaleOrder.proforma","Chiếu lệ",,
"SaleOrder.qtyUnit","Số lượng đơn vị",,
"SaleOrder.quote","Trích dẫn",,
"SaleOrder.salemanEmail","Email người bán",,
"SaleOrder.salemanName","Tên người bán",,
"SaleOrder.salemanPhone","SDT người bán",,
