"key","message","comment","context"
"${fullName} plan. st. move","${fullName} kế hoạch chuyển hàng",,
"${fullName} real st. move","${fullName} thực tế chuyển hàng",,
"%s Reverse stock move (From %s)","%s Chuyển kho ngược (từ %s)",,
"0.00","0,00",,
"0.50","0,50",,
"1.00","1,00",,
"1.50","1,50",,
"2.00","2,00",,
"2.50","2.50",,
"3.00","3.00",,
"3.50","3.50",,
"4.00","4,00",,
"4.50","4.50",,
"5.00","5,00",,
"<B>%s or %s</B> not found","<b> %s hoặc %s </b> không tìm thấy",,
"<span class='label label-warning'>Warning : Delivery address is missing.</span>","<span class='label label-warning'>Cảnh báo: Thiếu địa chỉ giao hàng.</span>",,
"A cancel reason must be selected","Phải chọn một lí do hủy",,
"A partial stock move has been generated (%s)","Một đợt chuyển kho đã được tạo (%s)",,
"ABC analysis","Phân tích ABC",,
"AbcAnalysis.stockLocation","Kho hàng",,
"Account selection to carrier","Tài khoản để vận chuyển",,
"Accounting family","Gia đình kế toán",,
"Accounting value","Giá trị kế toán",,
"Activate bar code generation for stock location","Kích hoạt tạo mã vạch cho vị trí kho",,
"Activate bar code generation for tracking number","Kích hoạt tạo mã vạch cho mã truy vết",,
"Add","Thêm",,
"Address","Địa chỉ",,
"Alert","Cảnh báo",,
"All storable products used in DEB must have net mass and mass unit information for customs.","Tất cả các sản phẩm lưu kho được sử dụng trong DEB phải có thông tin về khối lượng ròng và đơn vị khối lượng cho cơ quan hải quan.",,
"Allocate","Phân bổ",,
"Allocate all","Phân bổ tất cả",,
"Allocations of costs","Phân bổ chi phí",,
"An error occurred while importing the file data, product not found with code :","Đã xảy ra lỗi khi nhập dữ liệu tệp, không tìm thấy sản phẩm có mã:",,
"An error occurred while importing the file data, there are multiple products with code :","Đã xảy ra lỗi khi nhập dữ liệu tệp, có nhiều sản phẩm có mã:",,
"An error occurred while importing the file data. Please contact your application administrator to check Traceback logs.","Đã xảy ra lỗi khi nhập dữ liệu tệp. Vui lòng liên hệ với quản trị viên ứng dụng của bạn để kiểm tra nhật ký.",,
"An incoming partial stock move has been generated (%s)","Một đợt chuyển kho một phần sắp đến đã được tạo (%s)",,
"An outgoing partial stock move has been generated (%s)","Một động thái cổ phiếu một phần đi đã được tạo ra (%s)",,
"App","Ứng dụng",,
"App stock","Ứng dụng kho",,
"Are you sure you want to change status to  ""Collected "" ?","Bạn có chắc là muốn thay đổi trạng thái thành ""Thu thập"" ?",,
"Are you sure you want to go back to provision ?","Bạn có chắc là bạn muốn quay lại cung cấp?",,
"Are you sure you want to realize this stock move?","Bạn có chắc chắn muốn thực hiện hành động này không?",,
"Are you sure you want to validate the carrier?","Bạn có chắc chắn muốn xác thực nhà cung cấp dịch vụ không?",,
"Arrival product qty","Số lượng nhập kho",,
"Arrivals History","Lịch sử đến",,
"Auto product tracking Nbr. order","Trình tự mã truy vết sản phẩm tự động",,
"Auto sale tracking Nbr. order","Trình tự mã truy vết bán hàng tự động",,
"Auto select product tracking Nbr.","Tự chọn mã truy vết sản phẩm",,
"Auto select sale tracking Nbr.","Tự chọn mã truy vết bán hàng",,
"Av. for product","Số lượng có sẵn của sản phẩm",,
"Availability","Khả dụng",,
"Availability request","Yêu cầu sẵn có",,
"Available","Có sẵn",,
"Available qty","Số lượng có sẵn",,
"Available qty for product","Số lượng có sẵn của sản phẩm",,
"Available status","Tình trạng có sẵn",,
"Average","Trung bình",,
"Average Price","Giá trung bình",,
"Avg outgoing quantity on 12 past months (One-off sale excluded)","Số lượng gửi đi trung bình 12 tháng trước (không bao gồm chương trình giảm giá một lần)",,
"Back to provision","Quay lại cung cấp",,
"Backorder","Đơn hàng dự trữ",,
"Backorder Id","ID Đơn hàng dự trữ",,
"Backorder Stock Move","Luân chuyển Đơn hàng dự trữ",,
"Bad stock move type","Loại di chuyển kho xấu",,
"Barcode","Mã vạch",,
"Barcode Type","Loại mã vạch",,
"Barter","Chuyển đổi hàng hóa",,
"Both source location address and delivery (to) address are required to define the delivery itinerary","Cả hai địa chỉ vị trí nguồn và địa chỉ giao hàng (đến) đều được yêu cầu để xác định hành trình phân phối",,
"Buyer","Người mua",,
"Buyer/Seller","Người mua/Người bán",,
"CSV","CSV",,
"Can only be collected if validated","Chỉ thu thập khi đã được xác nhận",,
"Can only be validated if provisioned","Chỉ được xác nhận nếu đã cấp phép",,
"Can only cancel a planned or realized stock move.","Chỉ có thể hủy kế hoạch luân chuyển hoặc thực hiện luân chuyển",,
"Can only cancel a validated inventory.","Chỉ có thể hủy một hàng tồn kho được xác thực.",,
"Can only complete a started inventory.","Chỉ có thể hoàn thành kiểm kê đã bắt đầu.",,
"Can only plan a draft inventory.","Chỉ có thể lập kế hoạch cho một dự thảo hàng tồn kho.",,
"Can only plan a drafted stock move.","Chỉ có thể lên kế hoạch cho một đợt dự thảo luân chuyển.",,
"Can only return to draft if cancelled.","Chỉ có thể trở lại dự thảo nếu bị hủy.",,
"Can only return to provision if was validated or collected","Chỉ có thể quay lại cung cấp nếu được xác thực hoặc thu thập",,
"Can only start a draft inventory.","Chỉ có thể bắt đầu một dự thảo hàng tồn kho.",,
"Can only validate a drafted stock correction.","Chỉ có thể xác nhận một bản dự thảo sửa đổi.",,
"Can't delete a planned stock move","Không thể xóa một đợt chuyển kho đã lên kế hoạch",,
"Can't delete a realized stock move","Không thể xóa một đợt chuyển kho đã thực hiện",,
"Can't realize this stock move because of the ongoing inventory %s.","Không thể thực hiện việc luan chuyển này do kiểm kê %s tồn kho đang diễn ra.",,
"Cancel","Hủy bỏ",,
"Cancel reason","Lý do hủy",,
"Cancel reservation","Hủy đặt chỗ",,
"Canceled","Bị hủy bỏ",,
"Cancellation","Hủy bỏ",,
"Cancellation confirmation","Xác nhận hủy bỏ",,
"Cancelled Arrivals","Lượt đến bị Hủy",,
"Cannot go back to draft status.","Không thể quay lại trạng thái dự thảo.",,
"Cannot realize a stock move that is not planned.","Không thể nhận ra một động thái cổ phiếu không được lên kế hoạch.",,
"Cannot validate an inventory that is not completed.","Không thể xác nhận một hàng tồn kho chưa hoàn thành.",,
"Carriage (Sea/Air) to port of import","Vận chuyển (Đường biển / Đường hàng không) đến cảng nhập khẩu",,
"Carriage to place of destination","Vận chuyển tới điểm đến",,
"Carriage to port of export","Vận chuyển đến cảng xuất khẩu",,
"Carrier","Vận chuyển",,
"Carrier validated","Đơn vị vận chuyển đã xác thực",,
