"key","message","comment","context"
"${fullName} plan. st. move","${fullName} Kế hoạch điều chuyển kho",,
"${product.fullName} plan. st. move","${product.fullName} Kế hoạch điều chuyển kho",,
"${product.fullName} real st. move","${product.fullName} thực tế điều chuyển kho",,
"${product.fullName} reserved","${product.fullName} đã đặt trước",,
"%",,,
"%d order invoiced successfully,","%d đơn hàng được lập hóa đơn thành công,",,
"%d orders invoiced successfully,","%d đơn hàng được lập hóa đơn thành công,",,
"%d outgoing stock move processed successfully,","%d Hàng gửi đi đã xử lý thành công,",,
"%d outgoing stock moves processed successfully,","%d Hàng gửi đi đã xử lý thành công,",,
"%s : The advance payment generation failed. Please configure the bank details for the company %s and the associated payment mode %s either on the payment mode side or this Sale order %s record (hidden field).","%s: Tạo thanh toán trước không thành công. Vui lòng định cấu hình chi tiết ngân hàng cho công ty %s và chế độ thanh toán được liên kết %s ở phía chế độ thanh toán hoặc đơn đặt hàng này %s hồ sơ (trường ẩn).",,
"%s blocked : maximal accepted credit exceeded for %s.","%s bị chặn: Vượt quá mức tín dụng tối đa cho %s.",,
"%s please configure a virtual supplier stock location for the company %s","%s vui lòng cấu hình kho NCC ảo cho công ty %s",,
"%s purchase order","%s Đơn hàng mua",,
"%s requested reserved","%s Yêu cầu đặt trước",,
"%s sale order","%s Đơn hàng bán ",,
"%s stock location","%s Kho",,
"A supplier partner must be selected","Phải chọn một đối tác là NCC",,
"A.T.I.","Bao gồm tất cả thuế",,
"Accepted Credit","Tín dụng được chấp nhận",,
"Accounting Family Dashboard","Bảng thông tin gia đình kế toán",,
"Accounting Family sale turnover (Excl. Tax) per month","Doanh thu bán hàng mỗi tháng (chưa bao gồm thuế)",,
"Accounting cut off generation report :","Báo cáo tổng kết kế toán:",,
"Accounting cut-off","Khóa sổ kế toán",,
"Accounting cut-off configuration","Cấu hình khóa sổ kế toán",,
"Action","Hành động",,
"Actions","Hành động",,
"Activate partial invoicing for incoming moves","Kích hoạt hóa đơn từng phần cho hàng chuyển đến",,
"Activate partial invoicing for outgoing moves","Kích hoạt hóa đơn từng phần cho chuyển hàng đi",,
"Activate partner delegations","Kích hoạt ủy quyền đối tác",,
"All invoices have been generated for this sale order.","Tất cả hóa đơn được tạo cho đơn đặt hàng này.",,
"Allocated Qty","Số lượng được phân bổ",,
"Allocated qty","Số lượng được phân bổ",,
